0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0.000015,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
1,0.000001,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
0,0.000174,0,0.801987,1,0,0,0,0.071429,1,0,0,0,0,0,0,0,0.000075,0.000004,0.273481,0.802568,1
0,0.000211,0,0.706257,1,0,0,0,0.857143,1,0,0,0,0,0,0,0,0.00007,0.000003,0.254144,0.748813,1
0,0.000461,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0.000002,0,0,0,1
1,0.000009,0,0.000279,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0.002762,0.000427,0
